cs1,cs2
105.164764,3738.9814
22.094442,1789.0358
107.515465,2851.033
99.78293,4167.1465
104.87506,1850.08
59.651413,2147.9968
4.142507,531.18646
95.93909,2725.6572
73.579025,2980.5786
21.71807,2830.6584
33.054775,2286.8655
24.056171,1788.8988
15.605956,1251.4966
90.93983,3489.4915
101.04281,3583.813
7.9891806,1139.1425
127.293205,2259.711
26.728886,1408.8961
58.936436,1751.1066
66.915474,4102.5654
2.6702793,1130.3773
3.7885816,956.81915
82.12854,3200.9758
21.470602,1334.9962
85.910225,2216.5034
23.147593,1828.9626
51.5936,2039.2856
16.773924,2321.6187
37.335712,2048.7878
92.108215,2457.3596
18.791124,2052.0305
89.80476,3953.8345
19.61096,1744.0239
2.5488837,904.213
58.240833,2949.4294
73.52994,2173.8672
34.318447,2042.8434
81.0083,2892.583
7.84532,925.13025
63.60068,2431.4749
39.899532,1801.86
57.324924,1941.9614
8.224172,1585.8685
31.280483,2432.9897
83.08048,3457.6765
8.110325,1023.2748
31.691439,2300.0222
70.450066,2378.7268
60.445335,3586.0225
87.416756,3264.6926
18.536629,2065.929
18.758518,1553.2163
88.692184,2768.3398
8.640103,1089.0481
52.37638,2600.749
78.42947,2958.5874
67.984795,2951.6558
62.355682,2316.4602
25.152632,1909.5223
6.7271404,1134.9977
92.35094,3872.2556
44.13349,2785.7627
70.854004,3334.3564
99.90949,2506.6724
71.05419,2716.0237
45.62487,3166.811
94.121605,2817.5261
108.31114,3650.5144
121.34346,3820.1614
49.877296,2362.365
14.977128,1163.612
76.841866,2773.2576
44.639477,2479.9133
39.32278,1927.2363
75.86713,3136.2366
78.19122,2717.19
100.424835,5165.8267
57.321198,3536.3203
23.025944,2251.9263
77.00846,2419.403
63.361904,2035.2595
76.317444,2836.4143
87.731064,3722.4636
72.50991,2970.4172
85.37541,5143.97
25.915335,2301.0168
66.095245,2221.2952
81.048325,3761.3167
77.60227,2818.2703
92.32208,4119.434
115.22663,2906.3342
72.7687,3503.986
89.67525,3373.6797
88.7115,3030.0283
19.83993,1547.6333
72.418274,3117.4016
98.32685,3220.2275
21.962671,3074.878
24.110842,1242.9221
37.647537,1493.6381
4.0630956,1214.1339
93.86903,3291.5107
35.47937,2075.4385
60.837788,3009.131
31.553568,2141.3792
54.279446,2639.231
12.752713,992.75824
117.54893,3364.3286
4.054773,632.65265
26.834478,1904.985
30.804998,2487.6826
22.33316,1778.078
42.083523,2969.6147
93.92027,2010.8846
53.88473,2773.1228
12.479712,1109.8185
24.44519,1431.3928
7.3682165,774.03076
26.420425,1861.3398
16.347805,2013.7903
108.737144,3128.8179
93.18464,2821.6692
30.785484,2515.2832
91.40113,2220.8086
23.639786,1454.9425
34.5351,2069.563
22.587233,1476.0676
111.3403,2806.5828
51.4571,2831.8333
72.5206,2755.931
14.44545,1393.8975
116.985374,2534.358
32.77238,2042.9176
98.91321,2577.2822
48.784077,3651.229
12.848416,983.21136
94.15978,1988.9271
44.369366,2674.5862
23.867521,1509.0667
48.985973,1777.8517
38.967358,1976.5006
137.73764,3632.779
22.458185,2149.9
16.775223,2054.9211
28.295082,1519.1017
102.992226,3833.3372
48.398567,2502.9065
22.003191,2666.193
5.390258,1342.7505
53.709312,2564.953
29.909107,2229.0305
96.32714,1863.4194
64.367226,2679.5188
32.366543,3052.7961
69.94601,2867.7983
97.21394,2130.1218
73.22252,2566.8015
92.38555,3816.0305
45.909958,2191.7346
69.178185,2289.244
125.10017,2559.1348
51.671722,2545.2476
47.2631,2210.793
81.55448,3858.0588
3.488868,762.89
35.29918,1240.507
56.828068,2303.4597
84.721306,3226.2786
58.60169,2898.3606
113.5748,3848.2795
61.624416,3360.257
36.572002,1864.6465
92.56419,3029.8513
12.2644415,1538.141
107.202545,2484.363
89.79301,2150.252
68.743195,2824.5017
54.060112,1392.0592
109.542076,3369.8137
29.0318,2032.0889
47.515774,2950.0884
5.080408,1157.615
81.45341,2291.9138
58.47964,3272.5781
21.815058,2013.8757
46.326492,2582.566
37.380505,1948.5876
97.51937,1670.7062
91.85251,1946.1139
51.606724,2792.1943
64.16272,2295.345
36.07571,2151.7986
81.59526,3312.386
20.142513,1606.9762
67.74113,2339.9583
6.695304,970.5451
50.392307,1974.9626
45.24262,1529.2028
64.804634,2032.864
7.9049287,1135.3755
39.09654,1802.5463
27.898525,1663.3887
75.17241,3672.0637
51.3435,2020.7737
3.609259,816.6498
79.45769,2133.0542
8.515711,1285.8998
3.3484676,719.4241
17.416769,1323.034
44.49928,1975.5637
16.30478,1488.3528
37.847,1799.9202
41.353462,3241.8813
61.891083,2404.9944
22.285614,1506.4722
95.51492,3189.1377
110.55751,3485.9421
69.93434,2397.2935
24.124592,1454.0258
77.12945,2192.5889
65.17022,2444.51
12.561257,1221.1482
19.65347,1767.0997
51.996895,2862.7632
79.28152,2113.8516
27.783651,1670.6531
52.368565,2713.5815
58.382717,3663.2651
87.97505,2506.1997
81.2516,2716.346
15.816671,2110.208
93.068695,2235.6692
19.301203,1811.2504
23.301208,1883.1377
105.66529,3001.781
36.78788,2260.4377
64.11034,2599.2793
75.66995,3065.8887
79.38473,3021.3552
33.089516,2419.9458
106.47389,2709.0303
45.32116,1963.4882
77.00672,1972.8048
27.005983,2248.0059
26.943604,1314.3689
41.530266,2452.26
14.905606,1162.2844
87.19351,2851.0403
54.596,3595.1663
76.383606,1808.0508
48.649208,3067.3923
23.56269,1671.1398
93.27316,3635.2732
72.975655,2492.4285
93.38523,3442.4744
47.4981,1860.9945
46.64205,1875.1195
99.53086,1616.5138
52.52975,2376.08
47.66535,2530.7834
89.44269,2485.362
87.352806,2127.2617
31.167988,1878.5828
49.095177,2267.8098
38.97337,2424.6958
7.640066,1112.4171
59.641235,2961.7302
21.965435,1445.5116
93.68742,3165.2068
17.955385,2055.2642
31.764637,2487.6753
88.21315,2362.1877
80.40685,4373.423
16.496132,1431.6115
88.99369,3884.0864
42.111675,2565.434
22.279001,1711.0557
113.15082,2524.8936
15.286312,1611.1941
28.512423,1977.3618
24.399069,1417.719
100.53021,3302.4685
112.94359,3372.6885
29.16165,2694.7146
25.278994,2273.6423
97.98537,2737.3699
92.70051,2898.2805
142.60547,4274.077
72.80076,3385.4143
82.40784,2884.7698
48.35527,1910.1129
73.39631,3168.2097
28.720049,2602.8948
63.2078,3187.9014
56.645874,3536.634
38.300518,3222.2085
73.22399,2495.6494
89.29463,3374.9224
7.1757984,1187.0613
89.53822,3279.346
36.109715,2225.5173
64.42946,2876.061
22.74886,1969.1102
120.06801,2382.0183
4.260494,1226.0858
106.32744,3382.3115
82.22969,2957.7869
14.640781,1147.6403
29.60534,2387.871
12.285121,1384.946
67.00191,2039.1251
3.236263,1033.4246
75.87478,3189.4941
84.35872,2628.88
37.124123,3289.7983
71.82752,2593.7468
76.84222,2095.7195
113.710205,2954.774
80.78696,2089.6921
14.959464,1922.9248
18.65673,1463.148
34.201767,1924.5339
73.70794,3605.9946
75.775475,4449.499
67.89296,4145.3916
37.050774,1058.8638
31.16965,2131.1619
91.6952,3216.1267
18.406473,1616.2897
55.66689,1699.6698
24.921013,2175.7273
87.72761,2845.733
38.2514,2251.8748
20.535172,2090.0703
95.057526,3753.8862
34.463264,1208.5149
31.868097,2419.3918
74.89645,2810.234
94.34988,3762.4558
73.91553,3779.8994
78.1948,2473.3728
31.028551,1690.3073
33.925095,1574.6018
78.95056,4180.991
